customer_id,age,age_group,gender,item_purchased,category,purchase_amount_usd,loc,region,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,previous_purchases,payment_method,frequency_of_purchases,purchase_frequency_days
35,36,Adult,Male,T-shirt,Clothing,91,North Dakota,Midwest,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,38,PayPal,Quarterly,90
36,54,Middle-aged,Male,Blouse,Clothing,33,Massachusetts,Northeast,M,Cyan,Summer,4,Yes,2-Day Shipping,Yes,48,Credit Card,Bi-Weekly,14
37,35,Adult,Male,T-shirt,Clothing,69,Illinois,Midwest,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,44,PayPal,Fortnightly,14
38,35,Adult,Male,Jeans,Clothing,45,Indiana,Midwest,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,10,PayPal,Weekly,7
39,29,Young Adult,Male,Dress,Clothing,37,Florida,South,M,Red,Winter,3.7,Yes,2-Day Shipping,Yes,44,Venmo,Every 3 Months,90
40,70,Senior,Male,Pants,Clothing,60,Arizona,West,S,Turquoise,Summer,4.2,Yes,Express,Yes,18,Credit Card,Monthly,30
41,69,Senior,Male,Handbag,Accessories,76,Louisiana,South,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,31,Debit Card,Quarterly,90
42,67,Senior,Male,Scarf,Accessories,39,Alaska,West,M,Orange,Spring,4.5,Yes,Standard,Yes,40,Venmo,Annually,365
43,20,Young Adult,Male,Coat,Outerwear,100,Tennessee,South,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,15,PayPal,Annually,365
44,25,Young Adult,Male,Scarf,Accessories,69,Ohio,Midwest,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,19,PayPal,Fortnightly,14
45,39,Adult,Male,Hat,Accessories,53,Kentucky,South,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,45,PayPal,Weekly,7
46,50,Middle-aged,Male,Socks,Clothing,21,Tennessee,South,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,25,PayPal,Annually,365
47,57,Middle-aged,Male,Shirt,Clothing,43,California,West,L,White,Summer,2.9,Yes,Store Pickup,Yes,45,Cash,Quarterly,90
48,55,Middle-aged,Male,Jewelry,Accessories,54,Montana,West,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,36,Cash,Weekly,7
49,42,Adult,Male,Shirt,Clothing,55,Nevada,West,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,38,Cash,Monthly,30
50,68,Senior,Male,Hoodie,Clothing,30,New Jersey,Northeast,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,34,Debit Card,Bi-Weekly,14
51,49,Middle-aged,Male,Blouse,Clothing,28,Maryland,South,M,Red,Spring,3.7,Yes,Store Pickup,Yes,39,Debit Card,Bi-Weekly,14
52,59,Senior,Male,Skirt,Clothing,59,Vermont,Northeast,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,7,Credit Card,Quarterly,90
53,42,Adult,Male,T-shirt,Clothing,20,Alaska,West,M,Green,Summer,2.6,Yes,Free Shipping,Yes,26,Credit Card,Weekly,7
54,29,Young Adult,Male,Skirt,Clothing,24,Mississippi,South,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,35,Credit Card,Weekly,7
55,47,Middle-aged,Male,Coat,Outerwear,94,New Mexico,West,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,35,Debit Card,Bi-Weekly,14
56,40,Adult,Male,Jacket,Outerwear,28,South Carolina,South,M,Lavender,Winter,3,Yes,2-Day Shipping,Yes,49,Credit Card,Annually,365
57,41,Adult,Male,Backpack,Accessories,73,Mississippi,South,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,46,Credit Card,Weekly,7
58,21,Young Adult,Male,Coat,Outerwear,64,West Virginia,South,M,White,Summer,4.4,Yes,Store Pickup,Yes,17,Debit Card,Fortnightly,14
59,69,Senior,Male,Hoodie,Clothing,54,Missouri,Midwest,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,29,Venmo,Monthly,30
60,63,Senior,Male,Belt,Accessories,79,Louisiana,South,L,Yellow,Spring,4.6,Yes,Standard,Yes,4,Debit Card,Weekly,7
61,50,Middle-aged,Male,Sweater,Clothing,37,Idaho,West,L,Brown,Summer,4,Yes,Express,Yes,17,Cash,Weekly,7
62,55,Middle-aged,Male,Scarf,Accessories,68,Texas,South,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,21,Credit Card,Every 3 Months,90
63,30,Young Adult,Male,Sneakers,Footwear,21,Mississippi,South,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,31,Credit Card,Fortnightly,14
64,33,Adult,Male,Sunglasses,Accessories,79,Arizona,West,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,43,Credit Card,Weekly,7
65,65,Senior,Male,Boots,Footwear,83,Alabama,South,S,Green,Fall,4.8,Yes,Standard,Yes,18,Debit Card,Fortnightly,14
66,65,Senior,Male,Backpack,Accessories,36,New Jersey,Northeast,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,44,Venmo,Every 3 Months,90
67,31,Young Adult,Male,Blouse,Clothing,94,Pennsylvania,Northeast,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,3,Venmo,Every 3 Months,90
68,45,Middle-aged,Male,Coat,Outerwear,33,Connecticut,Northeast,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,49,Debit Card,Monthly,30
69,57,Middle-aged,Male,Handbag,Accessories,46,Utah,West,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,21,Cash,Every 3 Months,90
70,48,Middle-aged,Male,Belt,Accessories,70,Tennessee,South,S,Cyan,Summer,4.4,Yes,Express,Yes,5,Cash,Weekly,7
71,22,Young Adult,Male,Belt,Accessories,29,Alabama,South,M,Magenta,Fall,4.2,Yes,Express,Yes,32,Debit Card,Every 3 Months,90
72,36,Adult,Male,Dress,Clothing,48,Virginia,South,L,Gold,Summer,2.9,Yes,Express,Yes,34,Bank Transfer,Annually,365
73,18,Young Adult,Male,Dress,Clothing,26,Georgia,South,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,21,Bank Transfer,Every 3 Months,90
74,48,Middle-aged,Male,Pants,Clothing,85,Hawaii,West,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,43,Bank Transfer,Bi-Weekly,14
75,49,Middle-aged,Male,Gloves,Accessories,58,Indiana,Midwest,L,Violet,Spring,4.5,Yes,Express,Yes,3,Cash,Monthly,30
76,64,Senior,Male,Scarf,Accessories,85,Utah,West,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,21,Credit Card,Annually,365
77,50,Middle-aged,Male,Hat,Accessories,43,Delaware,South,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,32,Venmo,Monthly,30
78,22,Young Adult,Male,Dress,Clothing,53,Delaware,South,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,36,Debit Card,Fortnightly,14
79,50,Middle-aged,Male,Skirt,Clothing,91,Nebraska,Midwest,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,50,Venmo,Fortnightly,14
80,38,Adult,Male,Jacket,Outerwear,96,Iowa,Midwest,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,43,Bank Transfer,Every 3 Months,90
81,19,Young Adult,Male,Sandals,Footwear,72,New York,Northeast,XL,Blue,Summer,3.8,Yes,Store Pickup,Yes,24,Credit Card,Every 3 Months,90
82,67,Senior,Male,Shoes,Footwear,96,Virginia,South,L,Maroon,Summer,2.6,Yes,Express,Yes,36,Credit Card,Every 3 Months,90
83,19,Young Adult,Male,Pants,Clothing,28,Georgia,South,S,Olive,Spring,4,Yes,2-Day Shipping,Yes,21,Credit Card,Every 3 Months,90
84,36,Adult,Male,Dress,Clothing,40,Texas,South,M,Turquoise,Summer,4.1,Yes,Standard,Yes,34,Bank Transfer,Weekly,7
85,52,Middle-aged,Male,Coat,Outerwear,32,Arizona,West,S,Peach,Spring,4.4,Yes,Standard,Yes,42,Bank Transfer,Every 3 Months,90
86,53,Middle-aged,Male,Sunglasses,Accessories,95,New Mexico,West,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,2,Debit Card,Bi-Weekly,14
87,24,Young Adult,Male,Hoodie,Clothing,41,Nevada,West,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,47,Cash,Bi-Weekly,14
88,52,Middle-aged,Male,Shoes,Footwear,53,Ohio,Midwest,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,44,Debit Card,Fortnightly,14
89,33,Adult,Male,T-shirt,Clothing,47,Wyoming,West,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,35,Credit Card,Monthly,30
90,47,Middle-aged,Male,Jacket,Outerwear,83,California,West,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,15,Cash,Quarterly,90
91,25,Young Adult,Male,Hat,Accessories,48,South Carolina,South,L,Violet,Summer,2.9,Yes,Express,Yes,29,Credit Card,Monthly,30
92,44,Adult,Male,Scarf,Accessories,99,South Carolina,South,S,Green,Winter,4.6,Yes,Standard,Yes,18,Credit Card,Every 3 Months,90
93,61,Senior,Male,Jacket,Outerwear,87,Texas,South,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,13,Venmo,Every 3 Months,90
94,37,Adult,Male,Sweater,Clothing,62,Florida,South,M,Purple,Fall,4.5,Yes,Standard,Yes,46,Credit Card,Weekly,7
95,58,Senior,Male,Skirt,Clothing,76,Nevada,West,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,28,Credit Card,Weekly,7
96,37,Adult,Male,Sneakers,Footwear,100,Missouri,Midwest,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,48,PayPal,Monthly,30
97,32,Adult,Male,Gloves,Accessories,73,Delaware,South,S,Gold,Spring,3.8,Yes,Express,Yes,43,Venmo,Every 3 Months,90
98,21,Young Adult,Male,Shoes,Footwear,92,Virginia,South,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,37,Cash,Annually,365
99,20,Young Adult,Male,Jeans,Clothing,67,New York,Northeast,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,20,Bank Transfer,Annually,365
100,26,Young Adult,Male,Hoodie,Clothing,40,Missouri,Midwest,XL,Indigo,Summer,3.7,Yes,Express,Yes,33,Debit Card,Quarterly,90
101,62,Senior,Male,Sunglasses,Accessories,98,South Dakota,Midwest,M,Maroon,Fall,2.7,Yes,Express,Yes,31,Cash,Fortnightly,14
102,27,Young Adult,Male,Coat,Outerwear,85,North Dakota,Midwest,XL,White,Spring,4.6,Yes,Express,Yes,50,Credit Card,Bi-Weekly,14
103,51,Middle-aged,Male,Socks,Clothing,67,Oklahoma,South,L,Violet,Winter,4.8,Yes,Next Day Air,Yes,35,Credit Card,Quarterly,90
104,54,Middle-aged,Male,Boots,Footwear,89,West Virginia,South,L,Red,Winter,4,Yes,Next Day Air,Yes,22,Venmo,Bi-Weekly,14
105,55,Middle-aged,Male,Sunglasses,Accessories,24,New Hampshire,Northeast,L,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,1,PayPal,Monthly,30
106,69,Senior,Male,Backpack,Accessories,96,New York,Northeast,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,4,Bank Transfer,Annually,365
107,64,Senior,Male,Jacket,Outerwear,35,Minnesota,Midwest,L,White,Summer,3.7,Yes,Standard,Yes,31,Credit Card,Monthly,30
108,28,Young Adult,Male,Sneakers,Footwear,67,Maryland,South,L,Olive,Winter,3.1,Yes,Next Day Air,Yes,46,PayPal,Fortnightly,14
109,70,Senior,Male,Socks,Clothing,79,Montana,West,L,Purple,Spring,3.4,Yes,Next Day Air,Yes,32,Bank Transfer,Bi-Weekly,14
110,58,Senior,Male,T-shirt,Clothing,85,Alabama,South,M,Violet,Spring,2.6,Yes,Next Day Air,Yes,43,Bank Transfer,Fortnightly,14
111,56,Middle-aged,Male,Backpack,Accessories,26,New York,Northeast,M,Black,Summer,4,Yes,Standard,Yes,26,Venmo,Fortnightly,14
112,26,Young Adult,Male,Belt,Accessories,75,Massachusetts,Northeast,L,Purple,Summer,5,Yes,Free Shipping,Yes,9,Credit Card,Annually,365
113,37,Adult,Male,Gloves,Accessories,65,Florida,South,M,Red,Spring,4.3,Yes,Free Shipping,Yes,28,PayPal,Bi-Weekly,14
114,44,Adult,Male,Hat,Accessories,54,New Jersey,Northeast,L,Maroon,Winter,3.1,Yes,Next Day Air,Yes,20,PayPal,Quarterly,90
115,70,Senior,Male,Coat,Outerwear,95,Massachusetts,Northeast,S,Blue,Summer,3.7,Yes,Store Pickup,Yes,9,Cash,Weekly,7
116,53,Middle-aged,Male,Skirt,Clothing,94,Wyoming,West,M,Gray,Spring,3.8,Yes,Standard,Yes,48,Debit Card,Every 3 Months,90
117,55,Middle-aged,Male,Shoes,Footwear,86,Virginia,South,S,Blue,Spring,3.4,Yes,Free Shipping,Yes,12,Venmo,Annually,365
118,50,Middle-aged,Male,Sandals,Footwear,32,South Dakota,Midwest,L,Yellow,Summer,4.6,Yes,Express,Yes,29,Cash,Fortnightly,14
119,50,Middle-aged,Male,Sweater,Clothing,45,Kentucky,South,L,Orange,Fall,4.8,Yes,2-Day Shipping,Yes,27,Cash,Bi-Weekly,14
120,38,Adult,Male,Coat,Outerwear,76,Wyoming,West,M,Orange,Fall,4.3,Yes,Express,Yes,44,Cash,Annually,365
121,64,Senior,Male,Hat,Accessories,84,West Virginia,South,L,Red,Summer,4,Yes,Express,Yes,32,Bank Transfer,Annually,365
122,19,Young Adult,Male,Shorts,Clothing,72,Virginia,South,M,Olive,Winter,4.2,Yes,Standard,Yes,11,Cash,Fortnightly,14
123,40,Adult,Male,Backpack,Accessories,40,Washington,West,L,Brown,Spring,4.8,Yes,2-Day Shipping,Yes,44,Cash,Fortnightly,14
124,57,Middle-aged,Male,Sweater,Clothing,89,Louisiana,South,L,Brown,Fall,3.1,Yes,Free Shipping,Yes,46,Cash,Weekly,7
125,44,Adult,Male,Sweater,Clothing,86,Nevada,West,M,Gray,Spring,3.1,Yes,Next Day Air,Yes,50,PayPal,Annually,365
126,49,Middle-aged,Male,Shorts,Clothing,54,California,West,M,Indigo,Winter,3.6,Yes,Next Day Air,Yes,45,Venmo,Every 3 Months,90
127,43,Adult,Male,Shorts,Clothing,36,Mississippi,South,L,Pink,Spring,3.9,Yes,Store Pickup,Yes,48,Cash,Every 3 Months,90
128,24,Young Adult,Male,Sweater,Clothing,89,Mississippi,South,M,Gray,Winter,4.8,Yes,Next Day Air,Yes,26,Credit Card,Weekly,7
129,20,Young Adult,Male,Scarf,Accessories,32,California,West,M,Gold,Spring,4.7,Yes,Standard,Yes,21,Credit Card,Fortnightly,14
130,24,Young Adult,Male,Dress,Clothing,67,Pennsylvania,Northeast,XL,Olive,Summer,4.2,Yes,2-Day Shipping,Yes,49,PayPal,Bi-Weekly,14
131,44,Adult,Male,Scarf,Accessories,39,Kentucky,South,L,Violet,Fall,3.7,Yes,Next Day Air,Yes,13,PayPal,Fortnightly,14
132,28,Young Adult,Male,Skirt,Clothing,29,Maine,Northeast,L,Indigo,Summer,3.9,Yes,Standard,Yes,46,Credit Card,Weekly,7
133,30,Young Adult,Male,Backpack,Accessories,58,New Mexico,West,M,Orange,Fall,4.7,Yes,2-Day Shipping,Yes,42,PayPal,Weekly,7
134,52,Middle-aged,Male,Sweater,Clothing,65,Montana,West,M,Violet,Winter,2.5,Yes,Next Day Air,Yes,25,Venmo,Annually,365
135,43,Adult,Male,Hat,Accessories,94,Texas,South,L,Gray,Fall,4.9,Yes,Store Pickup,Yes,25,Cash,Monthly,30
136,43,Adult,Male,Sandals,Footwear,81,Kansas,Midwest,M,Purple,Fall,4.1,Yes,Express,Yes,12,PayPal,Quarterly,90
137,39,Adult,Male,Blouse,Clothing,86,South Carolina,South,M,White,Winter,3.3,Yes,Free Shipping,Yes,4,Debit Card,Quarterly,90
138,68,Senior,Male,Sneakers,Footwear,43,Colorado,West,M,Turquoise,Spring,4.7,Yes,Free Shipping,Yes,38,PayPal,Weekly,7
139,68,Senior,Male,Skirt,Clothing,29,Georgia,South,M,Maroon,Winter,4.4,Yes,Store Pickup,Yes,42,Bank Transfer,Weekly,7
140,49,Middle-aged,Male,Coat,Outerwear,95,Florida,South,M,White,Fall,3.8,Yes,Store Pickup,Yes,30,Venmo,Annually,365
141,63,Senior,Male,Shirt,Clothing,28,North Carolina,South,L,Yellow,Fall,3.9,Yes,2-Day Shipping,Yes,50,Credit Card,Weekly,7
142,56,Middle-aged,Male,Gloves,Accessories,46,Virginia,South,M,Turquoise,Fall,4.9,Yes,Free Shipping,Yes,45,PayPal,Weekly,7
143,37,Adult,Male,Jacket,Outerwear,58,Nebraska,Midwest,L,Violet,Fall,3.1,Yes,Free Shipping,Yes,33,Credit Card,Fortnightly,14
144,30,Young Adult,Male,Coat,Outerwear,48,Missouri,Midwest,M,Beige,Fall,2.7,Yes,Store Pickup,Yes,25,PayPal,Quarterly,90
145,19,Young Adult,Male,Shoes,Footwear,43,New Jersey,Northeast,M,Silver,Fall,3.2,Yes,Express,Yes,25,Cash,Monthly,30
146,24,Young Adult,Male,Jewelry,Accessories,95,Missouri,Midwest,M,Teal,Fall,4.5,Yes,Standard,Yes,44,Debit Card,Quarterly,90
147,52,Middle-aged,Male,Skirt,Clothing,30,Colorado,West,S,Black,Fall,4,Yes,Standard,Yes,21,Venmo,Fortnightly,14
148,63,Senior,Male,Shoes,Footwear,64,Idaho,West,M,Purple,Summer,3.5,Yes,2-Day Shipping,Yes,31,Bank Transfer,Fortnightly,14
149,37,Adult,Male,Gloves,Accessories,90,Wyoming,West,M,Gray,Fall,2.6,Yes,Store Pickup,Yes,47,Debit Card,Annually,365
150,38,Adult,Male,Pants,Clothing,76,Delaware,South,M,White,Summer,3.2,Yes,Free Shipping,Yes,14,PayPal,Monthly,30
151,35,Adult,Male,Boots,Footwear,96,California,West,L,Cyan,Fall,4.9,Yes,Standard,Yes,17,Debit Card,Every 3 Months,90
152,28,Young Adult,Male,Sunglasses,Accessories,47,North Dakota,Midwest,L,Turquoise,Fall,4.5,Yes,Next Day Air,Yes,3,Venmo,Annually,365
153,30,Young Adult,Male,Shirt,Clothing,85,South Carolina,South,S,Brown,Summer,4.3,Yes,Express,Yes,42,Venmo,Annually,365
154,69,Senior,Male,Hoodie,Clothing,55,North Carolina,South,M,Maroon,Winter,3.2,Yes,Standard,Yes,22,Debit Card,Annually,365
155,41,Adult,Male,Dress,Clothing,98,Oklahoma,South,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,21,Venmo,Quarterly,90
156,63,Senior,Male,Socks,Clothing,77,Maine,Northeast,S,Olive,Spring,4.3,Yes,Free Shipping,Yes,21,Bank Transfer,Quarterly,90
157,35,Adult,Male,Shorts,Clothing,26,Missouri,Midwest,M,Lavender,Fall,4,Yes,Standard,Yes,40,Debit Card,Annually,365
158,36,Adult,Male,Hat,Accessories,68,Vermont,Northeast,S,Yellow,Fall,3,Yes,Next Day Air,Yes,1,Bank Transfer,Fortnightly,14
159,25,Young Adult,Male,Shirt,Clothing,73,Connecticut,Northeast,XL,Teal,Fall,4.1,Yes,Standard,Yes,50,Bank Transfer,Monthly,30
160,58,Senior,Male,Gloves,Accessories,27,New Hampshire,Northeast,M,Charcoal,Fall,3.8,Yes,Store Pickup,Yes,39,Bank Transfer,Every 3 Months,90
161,27,Young Adult,Male,Gloves,Accessories,23,Texas,South,M,Orange,Summer,4.6,Yes,Free Shipping,Yes,34,Venmo,Monthly,30
162,65,Senior,Male,Backpack,Accessories,49,North Dakota,Midwest,M,Olive,Fall,3,Yes,Express,Yes,29,Venmo,Fortnightly,14
163,54,Middle-aged,Male,Sunglasses,Accessories,74,California,West,M,Turquoise,Summer,3,Yes,Store Pickup,Yes,31,PayPal,Bi-Weekly,14
164,54,Middle-aged,Male,Skirt,Clothing,67,Virginia,South,M,Purple,Summer,3.4,Yes,Standard,Yes,8,Debit Card,Weekly,7
165,59,Senior,Male,Handbag,Accessories,65,Delaware,South,S,Purple,Spring,2.6,Yes,Free Shipping,Yes,5,Credit Card,Fortnightly,14
166,42,Adult,Male,Handbag,Accessories,60,Kentucky,South,S,Yellow,Winter,2.8,Yes,Store Pickup,Yes,7,Cash,Monthly,30
167,46,Middle-aged,Male,Sneakers,Footwear,31,Delaware,South,XL,Indigo,Fall,4,Yes,Store Pickup,Yes,30,Cash,Monthly,30
168,33,Adult,Male,Gloves,Accessories,27,Arkansas,South,M,Green,Fall,4,Yes,Express,Yes,14,Credit Card,Every 3 Months,90
169,34,Adult,Male,Shoes,Footwear,80,Louisiana,South,M,Magenta,Summer,3,Yes,Express,Yes,5,Cash,Fortnightly,14
170,27,Young Adult,Male,Jacket,Outerwear,30,Nevada,West,S,Gold,Summer,3.3,Yes,Standard,Yes,3,PayPal,Every 3 Months,90
171,52,Middle-aged,Male,Shirt,Clothing,25,Wyoming,West,M,Maroon,Fall,2.6,Yes,Store Pickup,Yes,46,Venmo,Bi-Weekly,14
172,29,Young Adult,Male,Shorts,Clothing,35,Virginia,South,M,Blue,Summer,3.6,Yes,Store Pickup,Yes,4,Credit Card,Weekly,7
173,54,Middle-aged,Male,Jewelry,Accessories,67,Nebraska,Midwest,M,Violet,Summer,3.9,Yes,Next Day Air,Yes,42,Credit Card,Bi-Weekly,14
174,25,Young Adult,Male,Hat,Accessories,46,Hawaii,West,M,Turquoise,Fall,3.4,Yes,Standard,Yes,30,Cash,Annually,365
175,41,Adult,Male,Shoes,Footwear,35,Vermont,Northeast,L,Brown,Winter,3.5,Yes,Express,Yes,37,Venmo,Annually,365
176,53,Middle-aged,Male,Coat,Outerwear,86,Oklahoma,South,L,Violet,Fall,2.8,Yes,Next Day Air,Yes,2,Bank Transfer,Annually,365
177,53,Middle-aged,Male,Backpack,Accessories,81,New Hampshire,Northeast,L,Black,Spring,2.7,Yes,Next Day Air,Yes,30,Credit Card,Quarterly,90
178,21,Young Adult,Male,Hoodie,Clothing,42,Kansas,Midwest,L,Magenta,Fall,3.7,Yes,Next Day Air,Yes,47,Bank Transfer,Monthly,30
179,61,Senior,Male,Skirt,Clothing,43,Idaho,West,L,Lavender,Fall,4.3,Yes,2-Day Shipping,Yes,21,PayPal,Quarterly,90
180,64,Senior,Male,Boots,Footwear,31,Illinois,Midwest,M,Violet,Fall,4.9,Yes,Store Pickup,Yes,9,Bank Transfer,Fortnightly,14
